ID;English;Chinese Simplified;Chinese Traditional;Czech;Danish;German;Greek;Finnish;French;Iloko;Indonesian;Italian;Japanese;Korean;Netherlands;Norwege;Polish;Portugese;Spanish;Swedish;Tagalog
1200004164;Slinger;投石手;投石手;PRAKOVNÍK;SLYNGEKASTER;Schleuderer;ΣΦΕΝΔΟΝΙΣΤΗΣ;Linkooja;Frondeur;PUMAPALLATIBONG;PENGUMBAN;Fromboliere;石を投げる者;무릿매꾼;SLINGERAAR;SLYNGEKASTER;PROCARZ;Fundibulário;HONDERO;SLUNGKASTARE;TAGAPAGHILAGPOS
1200004165;Smoke;烟;煙;DÝM;RØG;Rauch;ΚΑΠΝΟΣ;Savu;Fumée;ASUK;ASAP;Fumo;煙;연기;ROOK;RØYK;DYM;Fumaça;HUMO;RÖK;USOK
1200004166;Smyrna;士每拿;士每拿;SMYRNA;SMYRNA;Smyrna;ΣΜΥΡΝΗ;Smyrna;Smyrne;SMIRNA;SMIRNA;Smirne;スミルナ;서머나;SMYRNA;SMYRNA;SMYRNA;Esmirna;ESMIRNA;SMYRNA;SMIRNA
1200004167;Snail;蜗牛;蝸牛;HLEMÝŽĎ;SNEGL;Schnecke;ΣΑΛΙΓΚΑΡΙ;Etana;Limace;BISUKOL;SIPUT;Lumaca;かたつむり;달팽이;SLAK;SNEGL;ŚLIMAK;Lesma;CARACOL;SNIGEL;SUSÔ
1200004168;Snake;;;;;;;;;ULEG;;;;;;;;Cobra;CULEBRA;;AHAS
1200004169;Snare;网罗;網羅;LÉČKA;SNARE;Schlinge;ΘΗΛΙΑ;Ansa;;SILO, II;JERAT;Laccio;わな;올무;STRIK;SNARE;SIDŁO;Laço;LAZO;SNARA;SILO
1200004170;Snow;雪;雪;SNÍH;SNE;Schnee;ΧΙΟΝΙ;Lumi;Neige;NIEBE;SALJU;Neve;雪;눈, IV;SNEEUW;SNØ;ŚNIEG;Neve;NIEVE;SNÖ;NIYEBE
1200004171;Snuffers;灯芯钳;燈芯鉗;ZHASÍNADLA;LAMPESAKSE;Dochtscheren;ΛΑΒΙΔΑ;Lamppupihdit;Pincettes;PANGARSANG;SEPIT;Smoccolatoi;心切りばさみ;심지 집게;SNUITERS;VEKETENGER;SZCZYPCE;Espevitadeiras;DESPABILADERAS;VEKSAXAR;PAMATAY-APOY
1200004172;So;梭;梭;SO;SO I;So;ΣΩ;So;So;SO;SO;So;ソ;소, II;SO;SO;SO;Sô;SO;SO;SO
1200004173;Soberness;清醒;清醒;STŘÍZLIVOST;ÆDRUELIGHED;Nüchternheit;ΝΗΦΑΛΙΟΤΗΤΑ;Raittius;Sobre, sobriété;KINAMANAGPARBENG;SADAR (TIDAK MABUK);Sobrietà;酒に酔っていない，正気;정신을 차림;NUCHTERHEID;EDRUELIGHET;TRZEŹWOŚĆ;Sobriedade;SOBRIEDAD;NYKTERHET;KATINUAN
1200004176;Sodom;所多玛;所多瑪;SODOMA;SODOMA;Sodom;ΣΟΔΟΜΑ;Sodoma;Sodome;SODOMA;SODOM;Sodoma;ソドム;소돔;SODOM;SODOMA;SODOMA;Sodoma;SODOMA;SODOM;SODOMA
1200004177;Soldier;士兵;士兵;VOJÁK;SOLDAT;Soldat;ΣΤΡΑΤΙΩΤΗΣ;Sotilas;Soldat;SOLDADO;PRAJURIT;Soldato;兵士;군인;SOLDAAT;SOLDAT;ŻOŁNIERZ;Soldado;SOLDADO;SOLDAT;KAWAL
1200004178;Solomon;所罗门;所羅門;ŠALOMOUN;SALOMON;Salomo;ΣΟΛΟΜΩΝ;Salomo;Salomon;SOLOMON;SALOMO;Salomone;ソロモン;솔로몬;SALOMO;SALOMO;SALOMON;Salomão;SALOMÓN;SALOMO;SOLOMON
1200004179;Son;儿子;兒子;SYN;SØN;Sohn;ΓΙΟΣ;Poika;Fils;ANAK A LALAKI, ANAK;ANAK LAKI-LAKI;Figlio;息子，子;아들;ZOON;SØNN;SYN;Filho;;SON;ANAK NA LALAKI, ANAK
1200004180;Song;歌;歌;PÍSEŇ;SANG;Lied;ΤΡΑΓΟΥΔΙ, ΥΜΝΟΣ;Laulu;Chant;KANTA;NYANYIAN;Cantico;歌;노래;LIED;SANG;PIEŚŃ;Cântico;CANCIÓN;SÅNG;AWIT
1200004186;Sorcerer;巫师;巫師;KOUZELNÍK;TROLDMAND;Zauberer;ΜΑΓΓΑΝΕΥΤΗΣ;Noita;Sorcier;MANGKUKULAM;TUKANG SIHIR;Stregone;呪術者;마술사;TOVENAAR;TROLLMANN;CZARNOKSIĘŻNIK;Feiticeiro;HECHICERO;TROLLKARL;MANGGAGAWAY
1200004188;Sorrel;酸叶草;酸葉草;ŠŤOVÍK;SYRLIGE PLANTER;Sauerampfer;ΞΙΝΟΛΑΠΑΘΟ;Suolaheinä;Oseille;SOREL;TANAMAN ASAM;Acetosella;酸葉;애기수영;ZURING;SYREPLANTER;SZCZAW;Azeda, azedinha;ACEDERA;SYRLIGA ÖRTER;ACEDERA
1200004192;Soul;尼发希，普绪克;尼發希，普緒克;DUŠE;SJÆL;Seele;ΨΥΧΗ;Sielu;Âme;KARARUA;JIWA;Anima;魂;영혼;ZIEL;SJEL;DUSZA;Alma;ALMA;SJÄL;KALULUWA
1200004193;Sourdough;发酵的面团;發酵的麪團;KVÁSEK;;;;;Pâte aigrie;NAALSEM A BELLAAY;ADONAN KHAMIR;Pasta acida;酸い練り粉;발효된 반죽;;;ZACZYN;Massa lêveda;MASA FERMENTADA;;PINAASIM NA MASA
1200004194;South;南;南;JIH;SYD;Süden;ΝΟΤΟΣ, ΝΟΤΙΑ;Etelä;Sud;ABAGATAN;SELATAN;Meridione;南;남쪽;ZUIDEN, HET;SØR, SYDLANDET;POŁUDNIE;Sul;SUR, II;SÖDER, SÖDERN;TIMOG
1200004195;Sovereignty;至高统治权;至高統治權;SVRCHOVANOST;SUVERÆNITET;Souveränität;ΚΥΡΙΑΡΧΙΑ;Suvereenius;Souveraineté;KINASOBERANO;KEDAULATAN;Sovranità;主権;주권;SOEVEREINITEIT;OVERHERREDØMME;ZWIERZCHNICTWO;Soberania;SOBERANÍA;SUVERÄNITET;SOBERANYA
