1200000841;Burden;cognition;
1200000844;Bush;plant;
1200000845;Butter;food;
1200000849;Cab;artifact;
1200000852;Caesar;person;name
1200000853;Caesarea;location;name
1200000855;Cage;artifact;
1200000857;Cain;person;name
1200000859;Cake;artifact;
1200000866;Calendar;time;
1200000867;Calf;animal;
1200000870;Calvary;location;name
1200000871;Camel;animal;
1200000872;Camp;artifact;
1200000874;Canaan;location;name
1200000875;Canal;object;
1200000878;Cane;artifact;
1200000880;Canon;communication;
1200000884;Capital;possession;
1200000885;Cappadocia;location;name
1200000887;Captive;person;
1200000888;Captivity;state;
1200000893;Carmelite;person;name
1200000897;Carpenter;person;
1200000898;Carpus;body;
1200000900;Carving;artifact;
1200000903;Cassia;plant;
1200000904;Castle;artifact;
1200000905;Caterpillar;animal;
1200000906;Cauda;body;
1200000907;Cave;object;
1200000908;Cedar;plant;
1200000910;Censer;artifact;
1200000911;Census;act;
1200000912;Centurion;person;
1200000914;Chaff;substance;
1200000915;Chains;artifact;
1200000916;Chalcedony;substance;
1200000917;Chaldea;location;name
1200000918;Chalk;substance;
1200000919;Chalkstone;substance;
1200000920;Chameleon;person;
1200000921;Chamois;substance;
1200000922;Charcoal;substance;
1200000923;Chariot;artifact;
1200000929;Cheek;body;
1200000930;Cheese;food;
1200000945;Cherub;person;
1200000951;Chieftain;person;
1200000953;Childbearing;process;
1200000959;Chios;location;name
1200000960;Chislev;time;name
1200000966;Christ;person;name
1200000967;Christian;person;name
1200000970;Chronology;relation;
1200000971;Chrysolite;substance;
1200000972;Chrysoprase;substance;
1200000973;Chub;animal;
1200000976;Cinnamon;plant;
1200000977;Circumcision;time;name
1200000978;Cistern;body;
1200000981;City;location;
1200000985;Clan;group;
1200000987;Claudius;person;name
1200000989;Clay;substance;
1200000994;Cloth;artifact;
1200000995;Clothing;artifact;
1200000996;Cloud;phenomenon;
1200000999;Coat of Mail;artifact;
1200001000;Cobra;animal;
1200001001;Coccus;animal;
1200001002;Cock;body;
1200001004;Cockroach;animal;
1200001005;Codex;communication;
1200001007;Collection;group;
1200001009;Colors;artifact;
1200001010;Colossae;location;name
1200001012;Commander;person;
1200001014;Communication;communication;
